School Name,State Name [Public School] Latest available year,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Black Students [Public School] 2018-19,White Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,Latitude [Public School] 2018-19,Longitude [Public School] 2018-19,CSA ID [District] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,Riverside County,="06065",41,47,–,2,45,9,29,1,2,88,3.60,24.44,33.934277,-116.969275,348,88,40,4,44
A PLACE TO GROW,California,Ventura County,="06111",†,†,†,†,†,†,†,†,†,†,–,–,34.449656,-119.242538,348,†,†,†,†
A. E. ARNOLD ELEMENTARY,California,Orange County,="06059",381,358,1,271,212,42,188,3,22,739,27.00,27.37,33.826830,-118.055721,348,739,246,37,283
A. G. COOK ELEMENTARY,California,Orange County,="06059",166,200,–,258,80,–,18,–,10,366,16.00,22.88,33.763274,-117.958298,348,366,187,37,224
A. G. CURRIE MIDDLE,California,Orange County,="06059",334,277,1,22,555,10,18,1,4,611,25.30,24.15,33.725847,-117.826745,348,611,422,31,453
A. J. DORSA ELEMENTARY,California,Santa Clara County,="06085",185,186,–,26,328,6,2,3,6,371,15.00,24.73,37.340050,-121.837374,488,371,262,59,321
A. L. CONNER ELEMENTARY,California,Fresno County,="06019",166,166,1,4,319,1,5,–,2,332,12.00,27.67,36.629731,-119.308705,260,332,292,17,309
A. M. THOMAS MIDDLE,California,Kern County,="06029",79,86,–,1,161,1,2,–,–,165,7.25,22.76,35.614936,-119.699385,†,165,108,="0",108
A. M. WINN WALDORF-INSPIRED,California,Sacramento County,="06067",183,150,5,16,124,36,125,2,25,333,17.35,19.19,38.566011,-121.323654,472,333,178,55,233
ABBOTT MIDDLE,California,San Mateo County,="06081",413,400,3,100,450,12,186,20,42,813,41.18,19.74,37.530496,-122.309998,488,813,346,33,379
ABBY REINKE ELEMENTARY,California,Riverside County,="06065",409,386,2,53,215,16,413,2,94,795,34.00,23.38,33.492008,-117.087291,348,795,135,26,161
ABC SECONDARY (ALTERNATIVE),California,Los Angeles County,="06037",44,38,–,7,61,9,4,–,1,82,1.00,82.00,33.881046,-118.045455,348,82,48,2,50
ABRAHAM LINCOLN,California,Los Angeles County,="06037",332,324,–,7,612,27,4,2,4,656,28.00,23.43,33.893335,-118.158338,348,656,524,94,618
ABRAHAM LINCOLN ALTERNATIVE,California,Kern County,="06029",54,47,1,="0",58,12,29,="0",1,101,5.80,17.41,34.864675,-118.178952,†,101,67,6,73
ABRAHAM LINCOLN CONTINUATION,California,Riverside County,="06065",120,77,1,4,163,14,13,="0",2,197,12.20,16.15,33.971065,-117.366450,348,197,158,23,181
ABRAHAM LINCOLN ELEMENTARY,California,Riverside County,="06065",302,307,1,12,512,14,57,–,13,609,26.10,23.33,33.734440,-116.373073,348,609,481,59,540
ABRAHAM LINCOLN ELEMENTARY,California,San Bernardino County,="06071",326,363,3,–,656,19,10,–,1,689,28.00,24.61,34.077328,-117.317020,348,689,613,9,622
ABRAHAM LINCOLN ELEMENTARY,California,Orange County,="06059",240,215,–,72,56,6,271,2,48,455,19.00,23.95,33.610349,-117.860907,348,455,66,9,75
ABRAHAM LINCOLN ELEMENTARY,California,Orange County,="06059",398,392,1,9,768,–,12,–,–,790,29.00,27.24,33.741155,-117.902009,348,790,662,51,713
ABRAHAM LINCOLN ELEMENTARY,California,Los Angeles County,="06037",260,230,2,116,80,3,260,–,29,490,18.00,27.22,34.227892,-118.252604,348,490,98,37,135
ABRAHAM LINCOLN ELEMENTARY,California,Santa Clara County,="06085",298,278,1,473,19,–,46,2,35,576,22.77,25.30,37.315200,-122.054406,488,576,18,1,19
ABRAHAM LINCOLN ELEMENTARY,California,Sacramento County,="06067",278,259,5,39,235,76,128,10,44,537,21.00,25.57,38.571450,-121.313463,472,537,410,55,465
ABRAHAM LINCOLN ELEMENTARY,California,Sonoma County,="06097",161,128,2,4,261,4,13,–,5,289,16.50,17.52,38.440727,-122.736660,488,289,161,41,202
ABRAHAM LINCOLN HIGH,California,Santa Clara County,="06085",848,957,6,92,1340,50,254,10,53,1805,78.26,23.06,37.328173,-121.924217,488,1805,798,171,969
ABRAHAM LINCOLN MIDDLE,California,Fresno County,="06019",497,485,–,47,893,–,41,–,1,982,52.06,18.86,36.581885,-119.599187,260,982,770,65,835
ABRAHAM LINCOLN SENIOR HIGH,California,Los Angeles County,="06037",558,508,–,253,773,23,16,–,1,1066,58.51,18.22,34.074678,-118.204031,348,1066,953,48,1001
ABRAXAS CONTINUATION HIGH,California,San Diego County,="06073",127,72,3,34,45,11,93,="0",13,199,18.70,10.64,32.974251,-117.060935,†,199,66,5,71
ACACIA ELEMENTARY,California,Orange County,="06059",347,362,–,144,219,9,261,–,76,709,22.00,32.23,33.882252,-117.897622,348,709,107,23,130
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,California,Ventura County,="06111",198,167,–,21,195,6,127,–,16,365,19.00,19.21,34.197543,-118.875761,348,365,149,43,192
ACACIA MIDDLE,California,Riverside County,="06065",420,391,3,15,534,92,130,–,37,811,36.13,22.45,33.744381,-116.960272,348,811,671,100,771
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,California,Los Angeles County,="06037",386,350,–,–,535,196,4,–,1,736,33.84,21.75,33.957097,-118.269051,348,736,661,8,669
ACADEMIA AVANCE CHARTER,CALIFORNIA,Los Angeles County,="06037",204,187,–,2,361,–,3,–,25,391,18.61,21.01,34.107370,-118.198171,348,391,349,23,372
ACADEMIA MODERNA,CALIFORNIA,Los Angeles County,="06037",241,224,–,–,460,–,4,–,1,465,19.00,24.47,33.966740,-118.229671,348,465,381,35,416
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,California,Los Angeles County,="06037",274,265,1,100,293,97,11,37,–,539,23.25,23.18,33.823801,-118.275382,348,539,300,79,379
ACADEMIES OF THE ANTELOPE VALLEY,California,Los Angeles County,="06037",248,317,3,14,350,79,88,–,31,565,34.20,16.52,34.658764,-118.243150,348,565,277,43,320
ACADEMY (THE)- SF @MCATEER,California,San Francisco County,="06075",184,174,4,90,126,58,43,1,36,358,14.50,24.69,37.745102,-122.449394,488,358,174,23,197
ACADEMY FOR ACADEMIC EXCELLENCE,CALIFORNIA,San Bernardino County,="06071",744,703,4,84,525,44,670,2,118,1447,62.82,23.03,34.533200,-117.279791,348,1447,421,58,479
ACADEMY FOR CHANGE,California,Butte County,="06007",11,2,="0",="0",7,="0",5,="0",1,13,1.80,7.22,39.759379,-121.858418,†,13,8,="0",8
ACADEMY FOR ENRICHED SCIENCES,California,Los Angeles County,="06037",170,142,–,60,101,19,130,1,1,312,14.00,22.29,34.175140,-118.515301,348,312,81,20,101
ACADEMY OF CAREERS AND EXPLORATION,California,San Bernardino County,="06071",178,146,3,5,160,36,116,2,2,324,15.29,21.19,34.734513,-117.358323,348,324,153,20,173
ACADEMY OF MEDIA ARTS,CALIFORNIA,Los Angeles County,="06037",†,†,†,†,†,†,†,†,†,†,–,–,34.011290,-118.315454,348,†,†,†,†
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,Los Angeles County,="06037",171,346,1,224,206,55,14,16,1,517,25.00,20.68,33.822655,-118.274237,348,517,250,83,333
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,Ventura County,="06111",209,182,2,13,248,7,107,–,14,391,16.55,23.63,34.285226,-119.159634,348,391,146,79,225
ACADEMY OF THE CANYONS,California,Los Angeles County,="06037",171,240,–,160,80,6,139,–,26,411,13.15,31.25,34.399315,-118.570879,348,411,51,7,58
ACADEMY OF THE REDWOODS,California,Humboldt County,="06023",79,111,3,13,27,4,123,–,20,190,6.00,31.67,40.699594,-124.194066,†,190,67,="0",67
ACADEMY PERFORMING PRESCHOOL,California,San Bernardino County,="06071",†,†,†,†,†,†,†,†,†,†,–,–,34.473440,-117.298451,348,†,†,†,†
ACALANES CENTER FOR INDEPENDENT STUDY,California,Contra Costa County,="06013",11,16,="0",3,3,="0",18,="0",3,27,1.60,16.88,37.876258,-122.075461,488,27,3,="0",3
ACALANES HIGH,California,Contra Costa County,="06013",698,637,–,157,105,13,948,3,109,1335,67.20,19.87,37.903282,-122.096603,488,1335,75,4,79
ACCELERATED,CALIFORNIA,Los Angeles County,="06037",402,385,–,2,763,9,1,–,12,787,34.00,23.15,34.010811,-118.273723,348,787,696,64,760
ACCELERATED ACHIEVEMENT ACADEMY,CALIFORNIA,Mendocino County,="06045",84,62,9,1,67,–,58,–,11,146,7.00,20.86,39.161676,-123.208870,†,146,109,17,126
ACCELERATED ACHIEVEMENT ACADEMY,California,San Benito County,="06069",86,87,–,13,105,–,48,1,6,173,7.00,24.71,36.856278,-121.417733,488,173,66,6,72
ACCELERATED CHARTER ELEMENTARY,CALIFORNIA,Los Angeles County,="06037",282,219,2,–,493,6,–,–,–,501,20.00,25.05,34.011570,-118.273641,348,501,442,45,487
ACCELERATED CHARTER HIGH,CALIFORNIA,Tulare County,="06107",85,45,="0",="0",111,4,13,="0",2,130,7.10,18.31,36.251910,-119.310681,546,130,105,5,110
ACCESS COUNTY COMMUNITY,California,Orange County,="06059",975,591,15,33,1210,36,209,8,55,1566,75.00,20.88,33.673479,-117.881552,348,1566,1254,74,1328
ACCESS JUVENILE HALL,California,Orange County,="06059",242,55,1,3,241,15,26,1,10,297,36.00,8.25,33.732422,-117.844355,348,297,294,="0",294
ACE CHARTER HIGH,CALIFORNIA,Santa Clara County,="06085",202,161,–,6,352,3,1,–,1,363,14.03,25.87,37.366775,-121.857906,488,363,235,40,275
ACE EMPOWER ACADEMY,CALIFORNIA,Santa Clara County,="06085",148,153,–,4,296,1,–,–,–,301,13.00,23.15,37.348500,-121.843311,488,301,246,30,276
ACE ESPERANZA MIDDLE,CALIFORNIA,Santa Clara County,="06085",171,117,1,4,280,1,2,–,–,288,11.00,26.18,37.327235,-121.845743,488,288,228,32,260
ACE INSPIRE ACADEMY,CALIFORNIA,Santa Clara County,="06085",129,128,4,2,243,3,3,–,2,257,11.00,23.36,37.350865,-121.873001,488,257,209,24,233
ACHIEVE ACADEMY,CALIFORNIA,Alameda County,="06001",312,326,1,23,576,17,16,2,3,638,36.66,17.40,37.782075,-122.226605,488,638,525,46,571
ACHIEVE CHARTER HIGH,CALIFORNIA,Butte County,="06007",23,25,="0",2,5,="0",38,="0",3,48,5.00,9.60,39.755320,-121.607181,†,48,17,2,19
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,CALIFORNIA,Butte County,="06007",101,135,5,5,35,3,174,–,14,236,10.45,22.58,39.760230,-121.621221,†,236,79,20,99
ACORN WOODLAND ELEMENTARY,California,Alameda County,="06001",145,141,–,3,256,18,6,–,3,286,14.00,20.43,37.753040,-122.186282,488,286,243,20,263
ADA CLEGG ELEMENTARY,California,Orange County,="06059",299,254,1,186,194,1,138,–,33,553,22.00,25.14,33.747813,-118.018803,348,553,251,46,297
ADA GIVENS ELEMENTARY,California,Merced County,="06047",291,282,1,40,362,13,140,–,17,573,23.00,24.91,37.305815,-120.453812,382,573,368,45,413
ADA S. NELSON ELEMENTARY,California,Los Angeles County,="06037",183,224,–,6,391,4,6,–,–,407,14.00,29.07,33.969841,-118.075656,348,407,321,14,335
ADA W. HARRIS ELEMENTARY,California,San Diego County,="06073",176,180,–,2,71,1,248,–,34,356,17.00,20.94,33.031151,-117.274662,†,356,62,5,67
ADALINE E. KENT MIDDLE,California,Marin County,="06041",297,290,1,25,92,4,393,1,71,587,36.67,16.01,37.953537,-122.547708,488,587,49,5,54
ADAM (WILLIAM LAIRD) ELEMENTARY,California,Santa Barbara County,="06083",448,490,–,4,918,1,15,–,–,938,35.75,26.24,34.936178,-120.442216,†,938,834,59,893
ADAMS (J. DOUGLAS) MIDDLE,California,Contra Costa County,="06013",581,548,3,225,261,116,430,11,83,1129,48.69,23.19,37.919562,-121.758552,488,1129,217,46,263
ADAMS ELEMENTARY,California,Orange County,="06059",227,193,–,14,401,–,1,1,3,420,19.00,22.11,33.717693,-117.896507,348,420,319,40,359
ADAMS ELEMENTARY,California,Orange County,="06059",217,191,1,19,328,4,48,–,8,408,19.49,20.93,33.674183,-117.932740,348,408,276,16,292
ADAMS ELEMENTARY,California,Riverside County,="06065",236,303,2,10,439,24,51,6,7,539,23.40,23.03,33.944462,-117.435142,348,539,377,61,438
ADAMS ELEMENTARY,California,San Joaquin County,="06077",264,216,6,84,237,93,31,1,28,480,17.42,27.55,38.009256,-121.315625,488,480,370,12,382
ADAMS ELEMENTARY,California,Santa Barbara County,="06083",317,275,–,8,431,3,142,–,8,592,24.00,24.67,34.432489,-119.734550,†,592,296,14,310
ADAMS ELEMENTARY,California,San Diego County,="06073",143,133,–,5,209,22,25,–,15,276,11.80,23.39,32.761727,-117.118699,†,276,191,46,237
ADAMS MIDDLE,California,Los Angeles County,="06037",554,512,3,125,311,54,414,7,152,1066,41.80,25.50,33.866015,-118.363886,348,1066,220,39,259
ADDAMS ELEMENTARY,California,Los Angeles County,="06037",480,429,2,51,672,132,10,12,30,909,33.50,27.13,33.852887,-118.191133,348,909,783,69,852
ADDAMS ELEMENTARY,California,Fresno County,="06019",425,372,6,51,607,45,66,5,17,797,33.00,24.15,36.764231,-119.836821,260,797,655,125,780
ADDISON ELEMENTARY,California,Santa Clara County,="06085",208,194,1,87,66,3,187,6,52,402,21.75,18.48,37.445880,-122.150844,488,402,50,16,66
ADELANTE CHARTER,CALIFORNIA,Santa Barbara County,="06083",150,140,–,3,243,1,42,–,1,290,14.00,20.71,34.424776,-119.679049,†,290,161,21,182
ADELANTE DUAL LANGUAGE ACADEMY,California,Santa Clara County,="06085",259,269,–,7,499,4,12,–,6,528,24.00,22.00,37.345478,-121.812712,488,528,207,93,300
ADELANTE DUAL LANGUAGE ACADEMY II,CALIFORNIA,Santa Clara County,="06085",88,84,1,–,166,–,2,2,1,172,8.00,21.50,37.344463,-121.839744,488,172,118,20,138
ADELANTE HIGH,California,Stanislaus County,="06099",39,23,="0",1,51,="0",9,="0",1,62,3.00,20.67,37.731182,-120.921032,382,62,49,="0",49
ADELANTE HIGH,California,Kings County,="06031",="0",1,="0",="0",1,="0",="0",="0",="0",1,–,†,36.007977,-119.961680,546,1,‡,‡,‡
ADELANTE HIGH (CONTINUATION),California,Placer County,="06061",70,32,="0",4,41,5,47,="0",5,102,10.72,9.51,38.752557,-121.279967,472,102,57,4,61
ADELANTE SPANISH IMMERSION,California,San Mateo County,="06081",232,238,–,7,343,2,106,–,12,470,18.00,26.11,37.454356,-122.244533,488,470,138,70,208
ADELANTO ELEMENTARY,California,San Bernardino County,="06071",156,166,1,–,146,115,31,1,28,322,13.00,24.77,34.575799,-117.408757,348,322,294,6,300
ADELANTO HIGH,California,San Bernardino County,="06071",982,872,8,21,1266,417,74,13,55,1854,69.80,26.56,34.531408,-117.440000,348,1854,1456,138,1594
ADELANTO VIRTUAL ACADEMY,CALIFORNIA,San Bernardino County,="06071",23,6,="0",="0",14,15,="0",="0",="0",29,3.70,7.84,34.572373,-117.406551,348,29,21,="0",21
ADELE HARRISON MIDDLE,California,Sonoma County,="06097",219,205,2,11,211,–,187,–,13,424,21.90,19.36,38.280105,-122.458979,488,424,176,43,219
ADOBE BLUFFS ELEMENTARY,California,San Diego County,="06073",238,192,–,171,45,6,157,2,49,430,18.00,23.89,32.973282,-117.141040,†,430,43,8,51
ADOLFO CAMARILLO HIGH,California,Ventura County,="06111",1125,1100,2,207,894,42,958,5,117,2225,90.20,24.67,34.217672,-119.008334,348,2225,453,91,544
ADRIAN WILCOX HIGH,California,Santa Clara County,="06085",1026,935,9,700,743,35,374,14,86,1961,88.60,22.13,37.366019,-121.986843,488,1961,625,120,745
ADULT TRANSITION PROGRAM,CALIFORNIA,Los Angeles County,="06037",8,7,–,–,7,–,5,–,3,15,1.00,15.00,34.097500,-117.822541,348,15,2,3,5
ADVANCED LEARNING ACADEMY,CALIFORNIA,Orange County,="06059",186,178,4,3,351,1,3,="0",2,364,13.00,28.00,33.745285,-117.863637,348,364,274,26,300
AEOLIAN ELEMENTARY,California,Los Angeles County,="06037",219,195,–,3,398,3,9,–,1,414,19.00,21.79,33.965408,-118.068327,348,414,337,18,355
AEROSTEM ACADEMY,CALIFORNIA,Sutter County,="06101",47,15,1,5,15,="0",25,="0",16,62,4.00,15.50,39.129670,-121.610431,472,62,22,7,29
AFFLERBAUGH-PAIGE CAMP,California,Los Angeles County,="06037",47,="0",="0",="0",34,12,1,="0",="0",47,10.31,4.56,34.153009,-117.743208,348,47,44,="0",44
AGGELER COMMUNITY DAY,California,Los Angeles County,="06037",70,="0",="0",="0",47,15,7,="0",1,70,5.50,12.73,34.242304,-118.592880,348,70,67,="0",67
AGNES J. JOHNSON  ELEMENTARY,California,Humboldt County,="06023",37,41,1,–,14,1,57,2,3,78,4.00,19.50,40.320179,-123.924236,†,78,42,5,47
AGNES L. SMITH ELEMENTARY,California,Orange County,="06059",394,350,1,51,178,12,426,1,75,744,26.00,28.62,33.671472,-118.004988,348,744,193,12,205
AGNES M. BAPTIST ELEMENTARY,California,Stanislaus County,="06099",303,331,5,99,297,40,147,15,31,634,25.00,25.36,37.693346,-121.025263,382,634,321,44,365
AGNES WARE STANLEY ELEMENTARY,California,Orange County,="06059",191,187,–,114,202,3,36,3,20,378,14.38,26.29,33.785530,-117.937827,348,378,211,25,236
AGOURA HIGH,California,Los Angeles County,="06037",1020,952,16,132,241,31,1483,4,65,1972,83.65,23.57,34.151167,-118.749305,348,1972,201,15,216
AGUA CALIENTE ELEMENTARY,California,Riverside County,="06065",288,253,–,2,532,1,2,–,4,541,21.50,25.16,33.825092,-116.489982,348,541,478,33,511
AHWAHNEE HIGH,California,Madera County,="06039",23,10,5,="0",9,="0",19,="0",="0",33,1.00,33.00,37.325572,-119.630663,260,33,23,1,24
AHWAHNEE MIDDLE,California,Fresno County,="06019",426,384,7,79,532,70,105,1,16,810,35.80,22.63,36.825424,-119.769113,260,810,552,173,725
AILEEN COLBURN ELEMENTARY,California,Merced County,="06047",208,209,1,6,352,7,48,–,3,417,19.00,21.95,37.353423,-120.619468,382,417,351,30,381
AKERS ELEMENTARY,California,Kings County,="06031",390,371,10,44,183,75,350,6,93,761,36.67,20.75,36.263760,-119.875050,546,761,140,151,291
AKIRA YOKOMI ELEMENTARY,California,Fresno County,="06019",457,333,5,38,637,48,43,1,18,790,31.00,25.48,36.747118,-119.783363,260,790,545,152,697
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,CALIFORNIA,Los Angeles County,="06037",816,577,6,–,1053,328,3,–,3,1393,76.01,18.33,33.934550,-118.268331,348,1393,1265,76,1341
ALAMEDA COMMUNITY LEARNING CENTER,CALIFORNIA,Alameda County,="06001",189,162,–,92,47,27,123,–,62,351,13.86,25.32,37.779130,-122.287661,488,351,90,3,93
ALAMEDA COUNTY COMMUNITY,California,Alameda County,="06001",57,76,1,2,75,42,8,="0",5,133,8.50,15.65,37.658352,-122.097941,488,133,106,8,114
ALAMEDA COUNTY JUVENILE HALL/COURT,California,Alameda County,="06001",43,3,="0",="0",12,29,5,="0",="0",46,8.00,5.75,37.715951,-122.118224,488,46,43,="0",43
