Agency Name,State Name [District] Latest available year,Fall Membership (V33) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Current Expenditures - El-Sec Education (TCURELSC) [District Finance] 2016-17,Total Expenditures (TOTALEXP) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) per Pupil (V33) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) per Pupil (V33) [District Finance] 2016-17,Agency ID - NCES Assigned [District] Latest available year
ABC UNIFIED,California,20768,52379000,258745000,190473000,15893000,227441000,252804000,12459,2522,9171,765,="0601620"
ACALANES UNION HIGH,California,5530,75958000,91214000,13651000,1605000,75057000,84811000,16494,13736,2469,290,="0601650"
ACKERMAN CHARTER,California,†,1938000,5686000,3525000,223000,4945000,6018000,†,†,†,†,="0601680"
ACTON-AGUA DULCE UNIFIED,California,10016,11199000,35216000,22767000,1250000,28079000,34504000,3516,1118,2273,125,="0600001"
ADELANTO ELEMENTARY,California,10288,11183000,127966000,105877000,10906000,111119000,115722000,12438,1087,10291,1060,="0601710"
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,–,–,–,–,–,–,†,†,†,†,="0601355"
ALAMEDA COUNTY OFFICE OF EDUCATION,California,2870,35391000,55795000,14490000,5914000,41741000,43380000,19441,12331,5049,2061,="0691051"
ALAMEDA UNIFIED,California,11201,65231000,136994000,65778000,5985000,113451000,144147000,12231,5824,5873,534,="0601770"
ALBANY CITY UNIFIED,California,3702,25766000,72737000,40908000,6063000,47687000,70064000,19648,6960,11050,1638,="0601860"
ALEXANDER VALLEY UNION ELEMENTARY,California,130,1748000,2521000,712000,61000,2293000,2585000,19392,13446,5477,469,="0601890"
ALHAMBRA UNIFIED,California,17071,63294000,290997000,196543000,31160000,216755000,289976000,17046,3708,11513,1825,="0600153"
ALISAL UNION,California,9235,20736000,124841000,91742000,12363000,103925000,125560000,13518,2245,9934,1339,="0601950"
ALLENSWORTH ELEMENTARY,California,78,99000,1181000,964000,118000,1125000,1125000,15141,1269,12359,1513,="0601980"
ALPAUGH UNIFIED,California,793,548000,5337000,4165000,624000,5076000,5729000,6730,691,5252,787,="0602010"
ALPINE COUNTY OFFICE OF EDUCATION,California,–,321000,1447000,959000,167000,879000,1071000,†,†,†,†,="0691058"
ALPINE COUNTY UNIFIED,California,80,1644000,3078000,916000,518000,3144000,3274000,38475,20550,11450,6475,="0602070"
ALPINE UNION ELEMENTARY,California,1745,8001000,19725000,10823000,901000,16355000,17674000,11304,4585,6202,516,="0602100"
ALTA LOMA ELEMENTARY,California,5988,19160000,67085000,45148000,2777000,57420000,61921000,11203,3200,7540,464,="0602160"
ALTA VISTA ELEMENTARY,California,555,226000,7283000,6062000,995000,6850000,6933000,13123,407,10923,1793,="0602220"
ALTA-DUTCH FLAT UNION ELEMENTARY,California,104,540000,1232000,597000,95000,1219000,1219000,11846,5192,5740,913,="0602250"
ALUM ROCK UNION ELEMENTARY,California,11624,58559000,163553000,90739000,14255000,146855000,169014000,14070,5038,7806,1226,="0602310"
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,381,1194000,4424000,2831000,399000,4162000,4269000,11612,3134,7430,1047,="0602360"
ALVINA ELEMENTARY,California,†,278000,1986000,1607000,101000,2150000,2184000,†,†,†,†,="0602370"
ALVORD UNIFIED,California,19255,49356000,257973000,188679000,19938000,236160000,261430000,13398,2563,9799,1035,="0602430"
AMADOR COUNTY OFFICE OF EDUCATION,California,222,6868000,12859000,4796000,1195000,11955000,13128000,57923,30937,21604,5383,="0691001"
