School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,21st Century Learning Institute,="0604290",="060429013779",88,40,4,44,3.60,24.44
A PLACE TO GROW,California,A Place to Grow,="0628270",="062827013394",†,†,†,†,–,–
A. E. ARNOLD ELEMENTARY,California,A. E. Arnold Elementary,="0610440",="061044001166",739,246,37,283,27.00,27.37
A. G. COOK ELEMENTARY,California,A. G. Cook Elementary,="0614880",="061488001834",366,187,37,224,16.00,22.88
A. G. CURRIE MIDDLE,California,A. G. Currie Middle,="0640150",="064015006636",611,422,31,453,25.30,24.15
A. J. DORSA ELEMENTARY,California,A. J. Dorsa Elementary,="0602310",="060231000103",371,262,59,321,15.00,24.73
A. L. CONNER ELEMENTARY,California,A. L. Conner Elementary,="0619700",="061970010780",332,292,17,309,12.00,27.67
A. M. THOMAS MIDDLE,California,A. M. Thomas Middle,="0622950",="062295007772",165,108,="0",108,7.25,22.76
A. M. WINN WALDORF-INSPIRED,California,A. M. Winn Waldorf-Inspired,="0633840",="063384005217",333,178,55,233,17.35,19.19
ABBOTT MIDDLE,California,Abbott Middle,="0634920",="063492005896",813,346,33,379,41.18,19.74
ABBY REINKE ELEMENTARY,California,Abby Reinke Elementary,="0600028",="060002808271",795,135,26,161,34.00,23.38
ABC SECONDARY (ALTERNATIVE),California,ABC Secondary (Alternative),="0601620",="060162010232",82,48,2,50,1.00,82.00
ABRAHAM LINCOLN,California,Abraham Lincoln,="0629850",="062985004650",656,524,94,618,28.00,23.43
ABRAHAM LINCOLN ALTERNATIVE,California,Abraham Lincoln Alternative,="0637620",="063762002045",101,67,6,73,5.80,17.41
ABRAHAM LINCOLN CONTINUATION,California,Abraham Lincoln Continuation,="0633150",="063315005148",197,158,23,181,12.20,16.15
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0611110",="061111001230",609,481,59,540,26.10,23.33
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0609390",="060939000951",689,613,9,622,28.00,24.61
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0627240",="062724000755",455,66,9,75,19.00,23.95
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0635310",="063531005993",790,662,51,713,29.00,27.24
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0615240",="061524001937",490,98,37,135,18.00,27.22
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0610290",="061029001139",576,18,1,19,22.77,25.30
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0633840",="063384005218",537,410,55,465,21.00,25.57
ABRAHAM LINCOLN ELEMENTARY,California,Abraham Lincoln Elementary,="0635810",="063581006125",289,161,41,202,16.50,17.52
ABRAHAM LINCOLN HIGH,California,Abraham Lincoln High,="0634590",="063459005696",1805,798,171,969,78.26,23.06
ABRAHAM LINCOLN MIDDLE,California,Abraham Lincoln Middle,="0636270",="063627001989",982,770,65,835,52.06,18.86
ABRAHAM LINCOLN SENIOR HIGH,California,Abraham Lincoln Senior High,="0622710",="062271003139",1066,953,48,1001,58.51,18.22
ABRAXAS CONTINUATION HIGH,California,Abraxas Continuation High,="0631530",="063153004883",199,66,5,71,18.70,10.64
ACACIA ELEMENTARY,California,Acacia Elementary,="0614730",="061473001790",709,107,23,130,22.00,32.23
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,California,Acacia Magnet School for Enriched Learning,="0609640",="060964001004",365,149,43,192,19.00,19.21
ACACIA MIDDLE,California,Acacia Middle,="0616920",="061692002148",811,671,100,771,36.13,22.45
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,California,Acad for Multilingual Arts and Sci at Mervyn M. Dymally High,="0622710",="062271013079",736,661,8,669,33.84,21.75
ACADEMIA AVANCE CHARTER,CALIFORNIA,Academia Avance Charter,="0602291",="060229110895",391,349,23,372,18.61,21.01
ACADEMIA MODERNA,CALIFORNIA,Academia Moderna,="0602361",="060236112455",465,381,35,416,19.00,24.47
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,California,Academies of Education and Empowerment at Carson High,="0622710",="062271013040",539,300,79,379,23.25,23.18
ACADEMIES OF THE ANTELOPE VALLEY,California,Academies of the Antelope Valley,="0602820",="060282013154",565,277,43,320,34.20,16.52
ACADEMY (THE)- SF @MCATEER,California,Academy (The)- SF @McAteer,="0634410",="063441012526",358,174,23,197,14.50,24.69
ACADEMY FOR ACADEMIC EXCELLENCE,CALIFORNIA,Academy for Academic Excellence,="0601911",="060191107296",1447,421,58,479,62.82,23.03
ACADEMY FOR CHANGE,California,Academy for Change,="0608370",="060837011853",13,8,="0",8,1.80,7.22
ACADEMY FOR ENRICHED SCIENCES,California,Academy for Enriched Sciences,="0622710",="062271013006",312,81,20,101,14.00,22.29
ACADEMY OF CAREERS AND EXPLORATION,California,Academy of Careers and Exploration,="0616860",="061686012368",324,153,20,173,15.29,21.19
ACADEMY OF MEDIA ARTS,CALIFORNIA,Academy of Media Arts,="0602503",="060250314434",†,†,†,†,–,–
ACADEMY OF MEDICAL ARTS AT CARSON HIGH,California,Academy of Medical Arts at Carson High,="0622710",="062271013104",517,250,83,333,25.00,20.68
ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY,California,Academy of Technology & Leadership at Saticoy,="0640980",="064098006765",391,146,79,225,16.55,23.63
ACADEMY OF THE CANYONS,California,Academy of the Canyons,="0642510",="064251008517",411,51,7,58,13.15,31.25
ACADEMY OF THE REDWOODS,California,Academy of the Redwoods,="0614190",="061419010801",190,67,="0",67,6.00,31.67
ACADEMY PERFORMING PRESCHOOL,California,Academy Performing Preschool,="0641040",="064104013396",†,†,†,†,–,–
ACALANES CENTER FOR INDEPENDENT STUDY,California,Acalanes Center for Independent Study,="0601650",="060165010751",27,3,="0",3,1.60,16.88
ACALANES HIGH,California,Acalanes High,="0601650",="060165000032",1335,75,4,79,67.20,19.87
ACCELERATED,CALIFORNIA,Accelerated,="0601732",="060173203245",787,696,64,760,34.00,23.15
ACCELERATED ACHIEVEMENT ACADEMY,CALIFORNIA,Accelerated Achievement Academy,="0601877",="060187710552",146,109,17,126,7.00,20.86
ACCELERATED ACHIEVEMENT ACADEMY,California,Accelerated Achievement Academy,="0617340",="061734012565",173,66,6,72,7.00,24.71
ACCELERATED CHARTER ELEMENTARY,CALIFORNIA,Accelerated Charter Elementary,="0601471",="060147110830",501,442,45,487,20.00,25.05
ACCELERATED CHARTER HIGH,CALIFORNIA,Accelerated Charter High,="0639930",="063993013976",130,105,5,110,7.10,18.31
ACCESS COUNTY COMMUNITY,California,ACCESS County Community,="0691024",="069102410567",1566,1254,74,1328,75.00,20.88
ACCESS JUVENILE HALL,California,ACCESS Juvenile Hall,="0691024",="069102409236",297,294,="0",294,36.00,8.25
ACE CHARTER HIGH,CALIFORNIA,ACE Charter High,="0601561",="060156113023",363,235,40,275,14.03,25.87
ACE EMPOWER ACADEMY,CALIFORNIA,ACE Empower Academy,="0602217",="060221712198",301,246,30,276,13.00,23.15
ACE ESPERANZA MIDDLE,CALIFORNIA,ACE Esperanza Middle,="0601852",="060185213740",288,228,32,260,11.00,26.18
ACE INSPIRE ACADEMY,CALIFORNIA,ACE Inspire Academy,="0602138",="060213813852",257,209,24,233,11.00,23.36
ACHIEVE ACADEMY,CALIFORNIA,Achieve Academy,="0602165",="060216511561",638,525,46,571,36.66,17.40
ACHIEVE CHARTER HIGH,CALIFORNIA,Achieve Charter High,="0601615",="060161514213",48,17,2,19,5.00,9.60
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,CALIFORNIA,Achieve Charter School of Paradise Inc.,="0602133",="060213311571",236,79,20,99,10.45,22.58
ACORN WOODLAND ELEMENTARY,California,ACORN Woodland Elementary,="0628050",="062805010730",286,243,20,263,14.00,20.43
ADA CLEGG ELEMENTARY,California,Ada Clegg Elementary,="0642150",="064215012492",553,251,46,297,22.00,25.14
ADA GIVENS ELEMENTARY,California,Ada Givens Elementary,="0624600",="062460003686",573,368,45,413,23.00,24.91
ADA S. NELSON ELEMENTARY,California,Ada S. Nelson Elementary,="0622890",="062289003501",407,321,14,335,14.00,29.07
ADA W. HARRIS ELEMENTARY,California,Ada W. Harris Elementary,="0607470",="060747000706",356,62,5,67,17.00,20.94
ADALINE E. KENT MIDDLE,California,Adaline E. Kent Middle,="0619380",="061938002329",587,49,5,54,36.67,16.01
ADAM (WILLIAM LAIRD) ELEMENTARY,California,Adam (William Laird) Elementary,="0605580",="060558009312",938,834,59,893,35.75,26.24
ADAMS (J. DOUGLAS) MIDDLE,California,Adams (J. Douglas) Middle,="0605910",="060591011574",1129,217,46,263,48.69,23.19
ADAMS ELEMENTARY,California,Adams Elementary,="0635310",="063531005981",420,319,40,359,19.00,22.11
ADAMS ELEMENTARY,California,Adams Elementary,="0627240",="062724009593",408,276,16,292,19.49,20.93
ADAMS ELEMENTARY,California,Adams Elementary,="0633150",="063315005129",539,377,61,438,23.40,23.03
ADAMS ELEMENTARY,California,Adams Elementary,="0638010",="063801006398",480,370,12,382,17.42,27.55
ADAMS ELEMENTARY,California,Adams Elementary,="0601414",="060141406015",592,296,14,310,24.00,24.67
ADAMS ELEMENTARY,California,Adams Elementary,="0634320",="063432005407",276,191,46,237,11.80,23.39
ADAMS MIDDLE,California,Adams Middle,="0600032",="060003204949",1066,220,39,259,41.80,25.50
ADDAMS ELEMENTARY,California,Addams Elementary,="0622500",="062250002695",909,783,69,852,33.50,27.13
ADDAMS ELEMENTARY,California,Addams Elementary,="0614550",="061455001703",797,655,125,780,33.00,24.15
ADDISON ELEMENTARY,California,Addison Elementary,="0629610",="062961004579",402,50,16,66,21.75,18.48
ADELANTE CHARTER,CALIFORNIA,Adelante Charter,="0602343",="060234308628",290,161,21,182,14.00,20.71
ADELANTE DUAL LANGUAGE ACADEMY,California,Adelante Dual Language Academy,="0602310",="060231011793",528,207,93,300,24.00,22.00
ADELANTE DUAL LANGUAGE ACADEMY II,CALIFORNIA,Adelante Dual Language Academy II,="0602310",="060231014147",172,118,20,138,8.00,21.50
ADELANTE HIGH,California,Adelante High,="0600061",="060006111814",62,49,="0",49,3.00,20.67
