Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Latitude [District] 2017-18,Longitude [District] 2017-18,Total General Revenue (TOTALREV) [District Finance] 2017-18,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2017-18,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2017-18
ABC UNIFIED,California,="0601620",33.879715,-118.071463,265547000,12922,12316
ACALANES UNION HIGH,California,="0601650",37.905787,-122.099170,95322000,16835,15554
ACKERMAN CHARTER,California,="0601680",38.934997,-121.055904,5890000,†,†
ACTON-AGUA DULCE UNIFIED,California,="0600001",34.472708,-118.196768,56618000,3811,3425
ADELANTO ELEMENTARY,California,="0601710",34.572373,-117.406551,111722000,12831,12322
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,="0601355",37.658353,-122.097894,–,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,="0691051",37.658227,-122.097227,60798000,19581,13604
ALAMEDA UNIFIED,California,="0601770",37.782150,-122.270091,155969000,13804,14325
ALBANY CITY UNIFIED,California,="0601860",37.884351,-122.299603,75649000,20680,21087
ALEXANDER VALLEY UNION ELEMENTARY,California,="0601890",38.655534,-122.793514,2457000,21181,20043
ALHAMBRA UNIFIED,California,="0600153",34.082200,-118.140400,306238000,18169,17756
ALISAL UNION,California,="0601950",36.676890,-121.621211,130073000,14197,13772
ALLENSWORTH ELEMENTARY,California,="0601980",35.854606,-119.391134,1193000,14549,13866
ALPAUGH UNIFIED,California,="0602010",35.886313,-119.485190,5280000,7003,7314
ALPINE COUNTY OFFICE OF EDUCATION,California,="0691058",38.766563,-119.809131,1509000,†,†
ALPINE COUNTY UNIFIED,California,="0602070",38.766563,-119.809131,3187000,39838,38238
ALPINE UNION ELEMENTARY,California,="0602100",32.824465,-116.774327,20549000,12024,11448
ALTA LOMA ELEMENTARY,California,="0602160",34.121600,-117.600500,69822000,11662,11686
ALTA VISTA ELEMENTARY,California,="0602220",36.057740,-118.966696,7476000,13398,12873
