School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,="060429013779",="0604290",88,3.60,24.44
A PLACE TO GROW,California,="062827013394",="0628270",†,–,–
A. E. ARNOLD ELEMENTARY,California,="061044001166",="0610440",739,27.00,27.37
A. G. COOK ELEMENTARY,California,="061488001834",="0614880",366,16.00,22.88
A. G. CURRIE MIDDLE,California,="064015006636",="0640150",611,25.30,24.15
A. J. DORSA ELEMENTARY,California,="060231000103",="0602310",371,15.00,24.73
A. L. CONNER ELEMENTARY,California,="061970010780",="0619700",332,12.00,27.67
A. M. THOMAS MIDDLE,California,="062295007772",="0622950",165,7.25,22.76
A. M. WINN WALDORF-INSPIRED,California,="063384005217",="0633840",333,17.35,19.19
ABBOTT MIDDLE,California,="063492005896",="0634920",813,41.18,19.74
ABBY REINKE ELEMENTARY,California,="060002808271",="0600028",795,34.00,23.38
ABC SECONDARY (ALTERNATIVE),California,="060162010232",="0601620",82,1.00,82.00
ABRAHAM LINCOLN,California,="062985004650",="0629850",656,28.00,23.43
ABRAHAM LINCOLN ALTERNATIVE,California,="063762002045",="0637620",101,5.80,17.41
ABRAHAM LINCOLN CONTINUATION,California,="063315005148",="0633150",197,12.20,16.15
ABRAHAM LINCOLN ELEMENTARY,California,="061111001230",="0611110",609,26.10,23.33
ABRAHAM LINCOLN ELEMENTARY,California,="060939000951",="0609390",689,28.00,24.61
ABRAHAM LINCOLN ELEMENTARY,California,="062724000755",="0627240",455,19.00,23.95
ABRAHAM LINCOLN ELEMENTARY,California,="063531005993",="0635310",790,29.00,27.24
ABRAHAM LINCOLN ELEMENTARY,California,="061524001937",="0615240",490,18.00,27.22
ABRAHAM LINCOLN ELEMENTARY,California,="061029001139",="0610290",576,22.77,25.30
ABRAHAM LINCOLN ELEMENTARY,California,="063384005218",="0633840",537,21.00,25.57
ABRAHAM LINCOLN ELEMENTARY,California,="063581006125",="0635810",289,16.50,17.52
ABRAHAM LINCOLN HIGH,California,="063459005696",="0634590",1805,78.26,23.06
ABRAHAM LINCOLN MIDDLE,California,="063627001989",="0636270",982,52.06,18.86
ABRAHAM LINCOLN SENIOR HIGH,California,="062271003139",="0622710",1066,58.51,18.22
ABRAXAS CONTINUATION HIGH,California,="063153004883",="0631530",199,18.70,10.64
ACACIA ELEMENTARY,California,="061473001790",="0614730",709,22.00,32.23
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,California,="060964001004",="0609640",365,19.00,19.21
ACACIA MIDDLE,California,="061692002148",="0616920",811,36.13,22.45
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,California,="062271013079",="0622710",736,33.84,21.75
ACADEMIA AVANCE CHARTER,CALIFORNIA,="060229110895",="0602291",391,18.61,21.01
ACADEMIA MODERNA,CALIFORNIA,="060236112455",="0602361",465,19.00,24.47
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,California,="062271013040",="0622710",539,23.25,23.18
ACADEMIES OF THE ANTELOPE VALLEY,California,="060282013154",="0602820",565,34.20,16.52
ACADEMY (THE)- SF @MCATEER,California,="063441012526",="0634410",358,14.50,24.69
ACADEMY FOR ACADEMIC EXCELLENCE,CALIFORNIA,="060191107296",="0601911",1447,62.82,23.03
ACADEMY FOR CHANGE,California,="060837011853",="0608370",13,1.80,7.22
ACADEMY FOR ENRICHED SCIENCES,California,="062271013006",="0622710",312,14.00,22.29
