Rank,Median Household Income ▼,Zip,Population
1,"236,912.00",94027,"7,230"
2,"228,587.00",92145,"1,968"
3,"200,325.00",91980,631
4,"187,857.00",94957,"1,063"
5,"182,750.00",94022,"19,737"
6,"180,174.00",94028,"6,720"
7,"176,241.00",94506,"21,896"
8,"172,443.00",90077,"8,328"
9,"170,656.00",94105,"6,282"
10,"167,546.00",94024,"22,573"
11,"167,386.00",95070,"31,093"
12,"166,750.00",95140,233
13,"166,147.00",94563,"18,284"
14,"163,486.00",92657,"9,751"
15,"163,219.00",94507,"15,973"
16,"162,328.00",94528,915
17,"157,938.00",90272,"23,497"
18,"157,879.00",91210,614
19,"156,250.00",90274,"25,482"
20,"154,107.00",95030,"13,429"
21,"153,269.00",94074,320
22,"152,721.00",95120,"37,673"
23,"152,210.00",91011,"20,671"
24,"150,864.00",92861,"5,911"
25,"149,821.00",95007,727
26,"149,538.00",92679,"32,822"
27,"147,568.00",94037,"2,880"
28,"145,610.00",94708,"11,143"
29,"145,505.00",95138,"19,136"
30,"144,886.00",94129,"3,334"
31,"144,152.00",94539,"51,459"
32,"142,071.00",90266,"35,534"
33,"138,750.00",90210,"21,478"
34,"138,371.00",94582,"39,721"
35,"137,344.00",94549,"28,298"
36,"137,122.00",92694,"24,568"
37,"136,331.00",94707,"12,402"
38,"135,076.00",96136,135
39,"134,907.00",94301,"16,927"
40,"133,333.00",95053,"2,730"
41,"133,088.00",94556,"15,505"
42,"132,826.00",94552,"15,209"
43,"132,486.00",94920,"12,583"
44,"132,462.00",94065,"11,585"
45,"131,607.00",90402,"11,503"
46,"131,166.00",92130,"50,280"
47,"131,108.00",94127,"19,356"
48,"130,961.00",95014,"62,478"
49,"128,802.00",94526,"32,274"
50,"128,654.00",95135,"21,349"
51,"128,060.00",91436,"14,563"
52,"127,684.00",94588,"31,910"
53,"126,984.00",92887,"20,071"
54,"126,557.00",94062,"27,014"
55,"126,397.00",95033,"9,628"
56,"125,735.00",92625,"12,572"
57,"125,629.00",92673,"29,875"
58,"125,335.00",94070,"29,879"
59,"125,272.00",93108,"12,119"
60,"124,814.00",90265,"17,660"
61,"124,712.00",92823,"2,960"
62,"124,375.00",95663,"2,485"
63,"123,575.00",94618,"17,007"
64,"123,459.00",92127,"41,900"
65,"122,970.00",94114,"32,229"
66,"122,354.00",94087,"55,229"
67,"121,948.00",94583,"35,272"
68,"121,715.00",91302,"25,165"
69,"121,367.00",94517,"12,781"
70,"121,337.00",94598,"26,974"
71,"121,209.00",94941,"30,605"
72,"121,200.00",94123,"25,528"
73,"120,984.00",92610,"11,799"
74,"120,893.00",95032,"25,898"
75,"120,742.00",90275,"42,420"
76,"120,686.00",92603,"20,173"
77,"120,672.00",93730,"10,137"
78,"120,610.00",94107,"27,792"
79,"120,401.00",94566,"42,523"
80,"120,208.00",95041,146
81,"120,152.00",91108,"13,613"
82,"119,939.00",92067,"9,020"
83,"119,924.00",92131,"33,868"
84,"119,095.00",94025,"40,945"
85,"118,919.00",95746,"23,715"
86,"118,750.00",91708,"3,447"
87,"118,125.00",94010,"42,223"
88,"117,700.00",95762,"40,603"
89,"117,326.00",91377,"14,512"
90,"116,855.00",95054,"23,914"
91,"116,732.00",90049,"35,262"
92,"115,807.00",94402,"24,306"
93,"114,779.00",94404,"35,045"
94,"114,777.00",92014,"13,525"
95,"114,757.00",95134,"16,811"
96,"114,608.00",91381,"20,296"
97,"114,603.00",94555,"35,654"
98,"114,542.00",95587,128
99,"113,826.00",93908,"12,350"
100,"113,616.00",94568,"48,097"
101,"113,281.00",94946,682
102,"113,279.00",94925,"9,478"
103,"112,008.00",92660,"35,308"
104,"111,833.00",94505,"14,353"
105,"111,602.00",94306,"27,094"
106,"111,098.00",91354,"29,034"
107,"110,964.00",92808,"20,137"
108,"110,343.00",91914,"16,926"
109,"110,236.00",95837,289
110,"110,054.00",92886,"48,649"
111,"109,913.00",91301,"26,439"
112,"109,545.00",96125,285
113,"109,267.00",92129,"54,664"
114,"108,919.00",95066,"15,095"
115,"108,882.00",91105,"11,373"
116,"108,366.00",95131,"29,660"
117,"108,295.00",94960,"15,999"
118,"108,205.00",95046,"6,303"
119,"107,768.00",94970,495
120,"107,660.00",94592,651
121,"107,577.00",94611,"37,225"
122,"107,493.00",95129,"40,530"
123,"107,324.00",95148,"46,993"
124,"107,095.00",95391,"12,359"
125,"106,750.00",90290,"6,902"
126,"106,660.00",95124,"48,505"
127,"106,458.00",90743,330
128,"106,365.00",91320,"44,958"
129,"106,333.00",94964,"4,478"
130,"105,985.00",94002,"26,679"
131,"105,659.00",91390,"19,691"
132,"105,480.00",94502,"13,192"
133,"105,029.00",90254,"19,725"
134,"104,934.00",90278,"40,839"
135,"104,557.00",93619,"30,409"
136,"104,167.00",95742,"9,780"
137,"104,149.00",92602,"23,529"
138,"104,125.00",92060,61
139,"103,598.00",92121,"4,832"
140,"103,472.00",94111,"3,477"
141,"103,378.00",94019,"18,382"
142,"103,333.00",94117,"42,638"
143,"103,319.00",90292,"21,507"
143,"103,319.00",95119,"10,595"
145,"103,306.00",91361,"20,266"
146,"102,952.00",94550,"48,050"
147,"102,872.00",95318,601
148,"102,755.00",92782,"22,583"
149,"102,500.00",92364,30
150,"102,479.00",95125,"54,696"
151,"102,396.00",93953,"4,578"
152,"102,273.00",91384,"28,949"
153,"102,237.00",94904,"12,271"
154,"102,212.00",92009,"43,627"
155,"102,160.00",92620,"43,802"
156,"102,045.00",92692,"48,967"
157,"102,030.00",92011,"23,883"
158,"101,932.00",94304,"3,688"
159,"101,912.00",94040,"33,958"
160,"101,303.00",92880,"61,187"
161,"101,292.00",92656,"51,370"
161,"101,292.00",95051,"54,406"
163,"100,844.00",94043,"29,280"
164,"100,750.00",94516,154
165,"100,747.00",91362,"35,564"
166,"100,694.00",92688,"45,074"
167,"100,398.00",91962,"1,722"
168,"100,380.00",92385,269
169,"100,308.00",95630,"73,356"
170,"100,215.00",94086,"47,051"
171,"100,204.00",94547,"24,622"
172,"100,139.00",95683,"6,555"
173,"100,114.00",94131,"28,370"
174,"100,049.00",91739,"38,009"
175,"99,638.00",93109,"11,031"
176,"99,606.00",91915,"27,290"
177,"99,537.00",93021,"36,407"
178,"99,398.00",90277,"34,546"
179,"99,167.00",95227,938
180,"98,990.00",95130,"14,559"
181,"98,899.00",95035,"69,635"
182,"98,831.00",91326,"36,024"
183,"98,697.00",92651,"23,668"
184,"98,655.00",91307,"25,597"
