X,Y,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,DEM_votes,REP_votes,DEM_percent,REP_percent,Total_votes,Vote_difference,Winner,Win_percent,Continuous_percent,Win_votes,Win_code,Shape__Area,Shape__Length,ORIG_FID
-84.9643144574239,38.9543859735791,1,Ohio,Indiana,18,115,18115,686,2118,23.51731231,72.6088447,2917,1432,Trump,72.6088447,29.2066917,2118,1,348001735.304688,93897.94257611,753
-84.0630888051587,38.5177890475047,2,Robertson,Kentucky,21,201,21201,222,759,21.91510365,74.92596249,1013,537,Trump,74.92596249,31.52380949,759,1,450017830.726562,94425.74545726,1092
-82.6099818106217,33.233241665645,3,Glascock,Georgia,13,125,13125,138,1235,9.92805755,88.84892086,1390,1097,Trump,88.84892086,45.44676786,1235,1,551124696.5,99869.98915643,448
-85.0183583895074,31.867834089531,4,Quitman,Georgia,13,239,13239,461,575,44.15708812,55.07662835,1044,114,Trump,55.07662835,11.67447535,575,1,577646875.015625,102301.13507132,504
-85.3386950775921,38.6189535136341,5,Trimble,Kentucky,21,223,21223,879,2771,23.21711569,73.19070259,3786,1892,Trump,73.19070259,29.78854959,2771,1,645012701.15625,106592.90863166,1103
-81.8843701102412,32.1551223845737,6,Evans,Georgia,13,109,13109,1130,2404,31.3714603,66.74069961,3602,1274,Trump,66.74069961,23.33854661,2404,1,684624028.025391,108130.70809396,440
-84.8514105884748,38.7499332635365,7,Gallatin,Kentucky,21,077,21077,749,2443,22.4655069,73.27534493,3334,1694,Trump,73.27534493,29.87319193,2443,1,421478156.84375,109003.08521894,1030
-83.2931083121723,34.5508991904928,8,Stephens,Georgia,13,257,13257,1835,7682,18.80122951,78.70901639,9760,5847,Trump,78.70901639,35.30686339,7682,1,686267808.359375,109114.83669559,513
-83.7106375720421,33.9971896646381,9,Barrow,Georgia,13,013,13013,6580,21105,22.82503122,73.21007354,28828,14525,Trump,73.21007354,29.80792054,21105,1,660025841.984375,110781.67912395,393
-85.9122592148785,38.3136305567932,10,Floyd,Indiana,18,043,18043,13939,21427,37.44526528,57.56077905,37225,7488,Trump,57.56077905,14.15862605,21427,1,603856623.449219,112876.65962475,717
-84.4854081300584,33.4185202647286,11,Fayette,Georgia,13,113,13113,23255,35034,38.50994419,58.0157981,60387,11779,Trump,58.0157981,14.6136451,35034,1,725629850.703125,112975.85038761,442
-85.3232210479525,40.4915392974825,12,Blackford,Indiana,18,009,18009,1243,3349,25.77768561,69.45250933,4822,2106,Trump,69.45250933,26.05035633,3349,1,799346187.917969,113071.05438705,700
-82.6875373603146,38.3631175642181,13,Boyd,Kentucky,21,019,21019,6021,13591,29.45262437,66.48241452,20443,7570,Trump,66.48241452,23.08026152,13591,1,677071339.804688,114184.94067155,1001
-84.9253204890805,39.6226186021092,14,Union,Indiana,18,161,18161,715,2445,21.75897748,74.40657334,3286,1730,Trump,74.40657334,31.00442034,2445,1,815956462.996094,114485.95411104,776
-82.5655116341529,32.399851439463,15,Treutlen,Georgia,13,283,13283,860,1808,31.85185185,66.96296296,2700,948,Trump,66.96296296,23.56080996,1808,1,740791952.533203,115379.98595962,526
